iter	Passed	Remaining
486	14276	15038
487	14297	15000
488	14320	14964
489	14341	14927
490	14362	14888
491	14388	14856
492	14413	14823
493	14437	14787
494	14470	14763
495	14505	14739
496	14533	14708
497	14563	14680
498	14599	14658
499	14634	14634
500	14675	14617
501	14714	14597
502	14749	14573
503	14793	14558
504	14833	14539
505	14874	14521
506	14908	14497
507	14935	14465
508	14956	14427
509	14981	14394
510	15003	14357
511	15025	14321
512	15050	14287
513	15073	14252
514	15098	14219
515	15124	14186
516	15153	14156
517	15180	14125
518	15202	14089
519	15225	14054
520	15246	14017
521	15268	13981
522	15300	13954
523	15338	13933
524	15364	13900
525	15387	13866
526	15408	13829
527	15428	13791
528	15460	13765
529	15494	13740
530	15535	13721
531	15579	13705
532	15621	13686
533	15665	13670
534	15712	13656
535	15755	13639
536	15793	13617
537	15828	13592
538	15861	13566
539	15888	13534
540	15911	13499
541	15934	13464
542	15956	13429
543	15977	13392
544	16001	13359
545	16021	13321
546	16042	13285
547	16062	13248
548	16082	13211
549	16105	13177
550	16127	13142
551	16154	13110
552	16180	13078
553	16205	13046
554	16227	13011
555	16246	12974
556	16270	12940
557	16294	12907
558	16320	12875
559	16341	12840
560	16363	12805
561	16394	12777
562	16434	12756
563	16463	12727
564	16493	12698
565	16529	12674
566	16564	12650
567	16598	12624
568	16639	12603
569	16685	12587
570	16724	12565
571	16768	12547
572	16817	12532
573	16850	12505
574	16870	12469
575	16891	12434
576	16912	12398
577	16932	12362
578	16951	12325
579	16974	12291
580	16998	12258
581	17018	12223
582	17040	12188
583	17064	12155
584	17088	12122
585	17110	12088
586	17131	12053
587	17155	12020
588	17178	11986
589	17199	11952
590	17226	11921
591	17245	11885
592	17266	11851
593	17292	11819
594	17318	11788
595	17344	11757
596	17374	11728
597	17411	11704
598	17449	11681
599	17488	11659
600	17528	11636
601	17565	11613
602	17597	11585
603	17635	11562
604	17667	11535
605	17701	11508
606	17737	11483
607	17775	11460
608	17806	11432
609	17836	11403
610	17856	11368
611	17878	11334
612	17899	11300
613	17924	11268
614	17946	11234
615	17965	11199
616	17985	11164
617	18006	11130
618	18024	11094
619	18046	11060
620	18065	11025
621	18085	10990
622	18107	10957
623	18127	10923
624	18149	10889
625	18173	10857
626	18193	10823
627	18213	10789
628	18235	10755
629	18257	10722
630	18278	10689
631	18300	10655
632	18348	10637
633	18394	10618
634	18433	10595
635	18465	10568
636	18498	10541
637	18534	10516
638	18572	10492
639	18607	10466
640	18648	10444
641	18687	10420
642	18726	10397
643	18774	10378
644	18804	10349
645	18829	10318
646	18852	10285
647	18875	10253
648	18896	10219
649	18919	10187
650	18945	10156
651	18967	10123
652	18987	10090
653	19010	10057
654	19034	10025
655	19061	9995
656	19083	9963
657	19104	9929
658	19125	9896
659	19147	9864
660	19170	9831
661	19192	9799
662	19218	9768
663	19246	9739
664	19276	9710
665	19315	9686
666	19383	9677
667	19423	9653
668	19477	9636
669	19528	9618
670	19563	9592
671	19596	9565
672	19628	9537
673	19662	9510
674	19695	9482
675	19729	9456
676	19760	9427
677	19787	9397
678	19809	9364
679	19832	9332
680	19855	9300
681	19877	9268
682	19899	9235
683	19919	9202
684	19942	9170
685	19966	9139
686	19990	9107
687	20012	9075
688	20033	9042
689	20058	9011
690	20082	8980
691	20105	8948
692	20127	8916
693	20152	8885
694	20174	8853
695	20200	8823
696	20224	8792
697	20249	8761
698	20270	8728
699	20297	8698
700	20332	8672
701	20374	8648
702	20409	8622
703	20440	8594
704	20474	8567
705	20506	8539
706	20535	8510
707	20564	8481
708	20598	8454
709	20645	8432
710	20686	8408
711	20725	8383
712	20762	8357
713	20787	8326
714	20846	8309
715	20897	8288
716	20932	8262
717	20956	8230
718	20978	8198
719	21002	8167
720	21027	8137
721	21053	8106
722	21080	8076
723	21105	8045
724	21128	8014
725	21149	7982
726	21172	7950
727	21194	7918
728	21219	7888
729	21248	7858
730	21290	7834
731	21329	7809
732	21365	7782
733	21404	7756
734	21447	7732
735	21485	7706
736	21520	7679
737	21553	7651
738	21582	7622
739	21613	7593
740	21646	7566
741	21681	7538
742	21718	7512
743	21742	7481
744	21766	7450
745	21788	7418
746	21813	7388
747	21838	7357
748	21863	7326
749	21885	7295
750	21908	7264
751	21932	7233
752	21953	7201
753	21974	7169
754	21995	7137
755	22017	7106
756	22040	7075
757	22063	7044
758	22084	7012
759	22109	6981
760	22136	6952
761	22163	6922
762	22190	6892
763	22213	6861
764	22246	6833
765	22284	6807
766	22319	6780
767	22361	6754
768	22403	6729
769	22439	6702
770	22478	6676
771	22513	6649
772	22554	6623
773	22591	6596
774	22630	6570
775	22667	6543
776	22701	6515
777	22724	6484
778	22749	6454
779	22773	6423
780	22796	6392
781	22825	6363
782	22851	6333
783	22876	6302
784	22899	6271
785	22922	6240
786	22949	6211
787	22974	6180
788	22997	6150
789	23020	6119
790	23050	6090
791	23080	6061
792	23103	6030
793	23131	6001
794	23158	5971
795	23186	5942
796	23214	5912
797	23246	5884
798	23291	5859
799	23325	5831
800	23358	5803
801	23390	5774
802	23417	5744
803	23445	5715
804	23477	5687
805	23508	5658
806	23544	5630
807	23576	5602
808	23608	5573
809	23640	5545
810	23673	5516
811	23699	5487
812	23723	5456
813	23745	5425
814	23770	5395
815	23791	5364
816	23811	5333
817	23832	5302
818	23852	5271
819	23876	5241
820	23898	5210
821	23921	5180
822	23944	5149
823	23967	5119
824	23989	5088
825	24015	5058
826	24038	5028
827	24061	4998
828	24084	4967
829	24107	4937
830	24131	4907
831	24153	4877
832	24178	4847
833	24202	4817
834	24235	4788
835	24265	4760
836	24299	4732
837	24327	4703
838	24354	4673
839	24388	4645
840	24422	4617
841	24450	4588
842	24481	4559
843	24512	4530
844	24542	4501
845	24577	4473
846	24658	4454
847	24735	4433
848	24773	4406
849	24809	4378
850	24839	4349
851	24864	4319
852	24884	4288
853	24904	4257
854	24927	4227
855	24947	4196
856	24966	4165
857	24989	4135
858	25010	4105
859	25034	4075
860	25065	4046
861	25085	4015
862	25106	3985
863	25127	3955
864	25148	3924
865	25167	3894
866	25198	3865
867	25229	3836
868	25272	3809
869	25307	3781
870	25334	3752
871	25365	3723
872	25397	3694
873	25429	3666
874	25471	3638
875	25506	3610
876	25538	3581
877	25569	3552
878	25599	3523
879	25626	3494
880	25656	3465
881	25677	3435
882	25700	3405
883	25723	3375
884	25741	3344
885	25764	3315
886	25785	3284
887	25806	3254
888	25829	3225
889	25850	3194
890	25872	3165
891	25895	3135
892	25915	3105
893	25940	3075
894	25962	3045
895	25984	3016
896	26005	2986
897	26026	2956
898	26048	2926
899	26067	2896
900	26093	2867
901	26114	2837
902	26142	2808
903	26177	2779
904	26205	2750
905	26234	2721
906	26270	2693
907	26299	2664
908	26326	2635
909	26359	2606
910	26393	2578
911	26424	2549
912	26459	2521
913	26492	2492
914	26529	2464
915	26575	2437
916	26611	2408
917	26634	2379
918	26656	2349
919	26685	2320
920	26714	2291
921	26735	2261
922	26758	2232
923	26778	2202
924	26798	2172
925	26820	2143
926	26840	2113
927	26864	2084
928	26884	2054
929	26903	2024
930	26922	1995
931	26945	1966
932	26971	1936
933	26999	1907
934	27019	1878
935	27042	1849
936	27061	1819
937	27085	1790
938	27106	1760
939	27134	1731
940	27168	1703
941	27206	1675
942	27237	1646
943	27269	1617
944	27303	1589
945	27334	1560
946	27366	1531
947	27406	1503
948	27443	1474
949	27483	1446
950	27532	1418
951	27562	1389
952	27583	1360
953	27605	1331
954	27626	1301
955	27645	1272
956	27668	1243
957	27692	1214
958	27711	1184
959	27731	1155
960	27751	1126
961	27774	1097
962	27794	1067
963	27814	1038
964	27833	1009
965	27856	980
966	27885	951
967	27913	922
968	27941	893
969	27968	865
970	27996	836
971	28020	807
972	28046	778
973	28072	749
974	28109	720
975	28153	692
976	28188	663
977	28222	634
978	28257	606
979	28298	577
980	28333	548
981	28374	520
982	28412	491
983	28446	462
984	28478	433
985	28508	404
986	28538	375
987	28561	346
988	28585	317
989	28606	288
990	28629	260
991	28649	231
992	28672	202
993	28696	173
994	28716	144
995	28739	115
996	28762	86
997	28789	57
998	28814	28
999	28836	0
